IDA,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
IDA only,IDX,"Population, total",SP.POP.TOTL,273244840,280120877,287265174,294632894,302286207,310230648,318386686,326857777,335669699,344654926,353539882,361723391,370219688,379779614,389663013,399483696,409173986,419152337,430022867,441440230,451982661,462246693,473936564,486705751,499790540,512976248,526144768,539531809,552965450,566800425,580839235,594934070,610501924,627217382,643572966,659768176,676066268,692329687,708735506,725601226,742632467,760135841,779234829,798891420,818159682,837717855,857875888,878188505,898199432,918527916,939730969,961612140,983589911,1005080882,1026805224,1049402114,1073442780,1098416162,1123983941,1150416080,1177588680,1205017407,1232235382
IBRD only,IBD,"Population, total",SP.POP.TOTL,1904346683,1926042536,1960606353,2007060959,2053555416,2100537138,2150132295,2199465757,2250275429,2303176093,2357214919,2412347838,2466417742,2520234213,2573217828,2624579934,2675380390,2725378600,2775385281,2826107994,2877606021,2930839842,2986590983,3042642812,3098522669,3155346593,3214034939,3274474604,3335241965,3395099883,3454425770,3512455528,3567767393,3621503071,3674720648,3727380975,3779600328,3831608284,3882839036,3932457638,3980362565,4027427875,4073344085,4118689510,4164013241,4208938572,4252600296,4295135714,4338335015,4382233995,4425837971,4471134545,4519075289,4568406106,4617515110,4665080901,4710745609,4755029370,4795958028,4833831131,4867842440,4895306842,4914355242
IDA & IBRD total,IBT,"Population, total",SP.POP.TOTL,2297972283,2329503799,2374276327,2431314278,2488809469,2547220471,2608583276,2670092279,2733532608,2799372212,2866379293,2933804351,3000609403,3068507571,3136139717,3202366239,3268150880,3333671715,3400306889,3468586480,3537803261,3609060683,3683951411,3759700941,3835415425,3912715182,3992266322,4073992562,4156275472,4238116885,4319686835,4400104121,4478741276,4556953494,4634770438,4712144657,4789545395,4866752668,4943424234,5019066614,5093905754,5168706338,5243283354,5317576423,5391795246,5465994258,5539726956,5612900975,5686803916,5762172064,5838773450,5917666583,5998533722,6079930346,6161220418,6241658900,6321546801,6401430493,6479097568,6554880543,6628068247,6695340280,6754326592
IDA total,IDA,"Population, total",SP.POP.TOTL,393625600,403461263,413669974,424253319,435254053,446683333,458450981,470626522,483257179,496196119,509164374,521456513,534191661,548273358,562921889,577786305,592770490,608293115,624921608,642478486,660197240,678220841,697360428,717058129,736892756,757368589,778231383,799517958,821033507,843017002,865261065,887648593,910973883,935450423,960049790,984763682,1009945067,1035144384,1060585198,1086608976,1113543189,1141278463,1169939269,1198886913,1227782005,1257055686,1287126660,1317765261,1348468901,1379938069,1412935479,1446532038,1479458433,1511524240,1543705308,1576577999,1610801192,1646401123,1683139540,1721049412,1760225807,1800033438,1839971350
IDA blend,IDB,"Population, total",SP.POP.TOTL,120380760,123340386,126404800,129620425,132967846,136452685,140064295,143768745,147587480,151541193,155624492,159733122,163971973,168493744,173258876,178302609,183596504,189140778,194898741,201038256,208214579,215974148,223423864,230352378,237102216,244392341,252086615,259986149,268068057,276216577,284421830,292714523,300471959,308233041,316476824,324995506,333878799,342814697,351849692,361007750,370910722,381142622,390704440,399995493,409622323,419337831,429250772,439576756,450269469,461410153,473204510,484919898,495868522,506443358,516900084,527175885,537358412,547984961,559155599,570633332,582637127,595016031,607735968
