Dividend,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Pre-demographic dividend,PRE,"Population, total",SP.POP.TOTL,188484894,192890980,197549304,202413011,207480357,212742196,218153165,223721654,229504001,235497996,241726476,248182949,254807021,261772896,269215218,277019356,285016249,293346289,302442287,311978056,320890339,328651565,336918508,346223339,356024795,366116135,376136620,386270164,396251031,406731853,417144782,427363888,439447569,453282283,468345219,483031809,495937962,508962926,523022619,537918075,553089230,568734640,586023563,604077372,621974508,640493810,659115651,677333522,697003893,718121906,739525992,761717101,784822780,808542070,832469778,856420253,880891473,905987912,931467165,957503246,984213438,1011043183,1038012552
Post-demographic dividend,PST,"Population, total",SP.POP.TOTL,755575073,764678914,773971699,783063134,792060920,800834639,809130400,817080267,824785271,832436871,839994662,849355911,857312419,864799662,872040235,878923921,885095643,891148506,897250576,903640940,909780809,915881806,921481239,926626734,931426792,936237496,941302405,946544990,952006529,957909363,964048985,971176019,977958696,984265557,989907298,995212216,1000693857,1005936747,1010875500,1015710581,1020793420,1025680403,1030818658,1035935060,1041241254,1046468599,1052106032,1058252873,1064631968,1070085408,1075046427,1077987051,1082488958,1087230525,1092179620,1097061415,1102020063,1106214534,1110126741,1113310738,1117424113,1116545246,1113419395
Late-demographic dividend,LTE,"Population, total",SP.POP.TOTL,1095548725,1097728985,1112142897,1137971547,1163376707,1189485776,1218319662,1246291107,1275030950,1305235738,1336152939,1367659433,1397522486,1426459153,1453964650,1479273067,1503509107,1526366884,1548637582,1570920160,1593099029,1615957004,1640893480,1665773694,1689771008,1714481164,1740698024,1768376867,1796192544,1822788469,1847821462,1871805819,1894353796,1915623786,1936398016,1956331335,1975855844,1995080443,2013531302,2030612791,2046026051,2060709239,2074581734,2088091467,2101411095,2114895075,2128519993,2142132712,2156046215,2169857353,2182768187,2196512073,2212381413,2228485037,2244043359,2258406242,2272340223,2286627723,2298987594,2309491804,2317278934,2321865172,2325466354
Early-demographic dividend,EAR,"Population, total",SP.POP.TOTL,979461502,1004319366,1029962253,1056327420,1083430197,1110603410,1137875812,1166092667,1195278339,1225287413,1255661025,1285672098,1316555228,1349249410,1382608576,1416414404,1450710647,1485833546,1521983049,1559348459,1598348344,1639825731,1682434337,1724928292,1767765290,1811272313,1855624329,1900589995,1946149314,1992092223,2041043553,2088580891,2134566607,2179380224,2223076958,2267616622,2314334474,2361095210,2407186134,2452952807,2499206970,2545843129,2591204247,2635731526,2680567394,2725013738,2769421149,2814101547,2857856055,2901516356,2946338808,2991353712,3035261244,3078835706,3122586392,3166642585,3210110979,3252529883,3294298709,3335463995,3375134276,3411889759,3447753080
